idPartido,EquipoLocal,EquipoVisitante,golesLocal,golesVisitante,Temporada
135,Athletic Club,Real Madrid,0,0,2017-18
136,Las Palmas,Betis,1,0,2017-18
137,Getafe,Valencia,1,0,2017-18
138,Leganes,Villarreal,3,1,2017-18
139,Eibar,Espanyol,3,1,2017-18
140,Girona,Alaves,2,3,2017-18
141,Alaves,Las Palmas,2,0,2017-18
142,Deportivo de La Coruna,Leganes,1,0,2017-18
143,Valencia,Celta Vigo,2,1,2017-18
144,Real Madrid,Sevilla,5,0,2017-18
145,Getafe,Eibar,0,0,2017-18
146,Real Sociedad,Malaga,0,2,2017-18
147,Levante,Athletic Club,1,2,2017-18
148,Villarreal,Barcelona,0,2,2017-18
149,Betis,Atletico de Madrid,0,1,2017-18
150,Espanyol,Girona,0,1,2017-18
151,Sevilla,Levante,0,0,2017-18
152,Eibar,Valencia,2,1,2017-18
153,Athletic Club,Real Sociedad,0,0,2017-18
154,Atletico de Madrid,Alaves,1,0,2017-18
155,Celta Vigo,Villarreal,0,1,2017-18
156,Barcelona,Deportivo de La Coruna,4,0,2017-18
157,Las Palmas,Espanyol,2,2,2017-18
158,Girona,Getafe,1,0,2017-18
159,Malaga,Betis,0,2,2017-18
160,Leganes,Real Madrid,1,3,2017-18
161,Levante,Leganes,0,0,2017-18
162,Getafe,Las Palmas,2,0,2017-18
163,Real Sociedad,Sevilla,3,1,2017-18
164,Eibar,Girona,4,1,2017-18
165,Alaves,Malaga,1,0,2017-18
166,Betis,Athletic Club,0,2,2017-18
167,Espanyol,Atletico de Madrid,1,0,2017-18
168,Deportivo de La Coruna,Celta Vigo,1,3,2017-18
169,Valencia,Villarreal,0,1,2017-18
170,Real Madrid,Barcelona,0,3,2017-18
171,Las Palmas,Eibar,1,2,2017-18
172,Valencia,Girona,2,1,2017-18
173,Sevilla,Betis,3,5,2017-18
174,Atletico de Madrid,Getafe,2,0,2017-18
175,Barcelona,Levante,3,0,2017-18
176,Villarreal,Deportivo de La Coruna,1,1,2017-18
177,Leganes,Real Sociedad,1,0,2017-18
178,Celta Vigo,Real Madrid,2,2,2017-18
179,Athletic Club,Alaves,2,0,2017-18
180,Malaga,Espanyol,0,1,2017-18
181,Getafe,Malaga,1,0,2017-18
182,Girona,Las Palmas,6,0,2017-18
183,Deportivo de La Coruna,Valencia,1,2,2017-18
184,Real Madrid,Villarreal,0,1,2017-18
185,Eibar,Atletico de Madrid,0,1,2017-18
186,Alaves,Sevilla,1,0,2017-18
187,Espanyol,Athletic Club,1,1,2017-18
188,Levante,Celta Vigo,0,1,2017-18
189,Real Sociedad,Barcelona,2,4,2017-18
190,Betis,Leganes,3,2,2017-18
191,Getafe,Athletic Club,2,2,2017-18
192,Atletico de Madrid,Girona,1,1,2017-18
193,Las Palmas,Valencia,2,1,2017-18
194,Villarreal,Levante,2,1,2017-18
195,Espanyol,Sevilla,0,3,2017-18
196,Real Madrid,Deportivo de La Coruna,7,1,2017-18
197,Betis,Barcelona,0,5,2017-18
198,Real Sociedad,Celta Vigo,1,2,2017-18
199,Alaves,Leganes,2,2,2017-18
200,Eibar,Malaga,1,1,2017-18
201,Athletic Club,Eibar,1,1,2017-18
202,Deportivo de La Coruna,Levante,2,2,2017-18
203,Valencia,Real Madrid,1,4,2017-18
204,Malaga,Girona,0,0,2017-18
205,Villarreal,Real Sociedad,4,2,2017-18
206,Sevilla,Getafe,1,1,2017-18
207,Barcelona,Alaves,2,1,2017-18
208,Atletico de Madrid,Las Palmas,3,0,2017-18
209,Leganes,Espanyol,3,2,2017-18
210,Celta Vigo,Betis,3,2,2017-18
211,Real Sociedad,Deportivo de La Coruna,5,0,2017-18
212,Alaves,Celta Vigo,2,1,2017-18
213,Betis,Villarreal,2,1,2017-18
214,Eibar,Sevilla,5,1,2017-18
215,Levante,Real Madrid,2,2,2017-18
216,Espanyol,Barcelona,1,1,2017-18
217,Atletico de Madrid,Valencia,1,0,2017-18
218,Getafe,Leganes,0,0,2017-18
219,Girona,Athletic Club,2,0,2017-18
220,Las Palmas,Malaga,1,0,2017-18
221,Athletic Club,Las Palmas,0,0,2017-18
222,Leganes,Eibar,0,1,2017-18
223,Villarreal,Alaves,1,2,2017-18
224,Real Madrid,Real Sociedad,5,2,2017-18
225,Malaga,Atletico de Madrid,0,1,2017-18
226,Valencia,Levante,3,1,2017-18
227,Celta Vigo,Espanyol,2,2,2017-18
228,Sevilla,Girona,1,0,2017-18
229,Barcelona,Getafe,0,0,2017-18
230,Deportivo de La Coruna,Betis,0,1,2017-18
231,Girona,Leganes,3,0,2017-18
232,Eibar,Barcelona,0,2,2017-18
233,Malaga,Valencia,1,2,2017-18
234,Las Palmas,Sevilla,1,2,2017-18
235,Alaves,Deportivo de La Coruna,1,0,2017-18
236,Betis,Real Madrid,3,5,2017-18
237,Real Sociedad,Levante,3,0,2017-18
238,Espanyol,Villarreal,1,1,2017-18
239,Atletico de Madrid,Athletic Club,2,0,2017-18
240,Getafe,Celta Vigo,3,0,2017-18
241,Deportivo de La Coruna,Espanyol,0,0,2017-18
242,Barcelona,Girona,6,1,2017-18
243,Leganes,Las Palmas,0,0,2017-18
244,Real Madrid,Alaves,4,0,2017-18
