Equipo,PL,90 Jugados,ACT,SCA90,PassLiveSCA,PassDeadSCA,TakeOnsSCA,ShotsSCA,FouledSCA,DefenseSCA,ACG,GCA90,PassLiveGCA,PassDeadGCA,TakeOnsGCA,ShotsGCA,FouledGCA,DefenseGCA,Temporada
Eibar,27,38.0,809,21.29,537,106,46,34,71,15,72,1.89,50,9,1,7,4,1,2017-2018
Espanyol,25,38.0,724,19.05,505,70,43,37,49,20,60,1.58,40,4,4,2,6,4,2017-2018
Getafe,32,38.0,629,16.55,377,87,54,26,59,26,64,1.68,31,9,9,5,8,2,2017-2018
Girona,25,38.0,794,20.89,497,117,44,40,79,17,88,2.32,47,9,11,7,12,2,2017-2018
La Coruña,32,38.0,818,21.53,577,92,52,45,41,11,67,1.76,45,8,3,7,4,0,2017-2018
Las Palmas,36,38.0,732,19.26,519,64,54,26,61,8,41,1.08,28,0,6,3,3,1,2017-2018
Leganés,28,38.0,678,17.84,420,84,50,38,61,25,55,1.45,32,6,5,8,3,1,2017-2018
Levante,33,38.0,728,19.16,499,65,61,34,48,21,79,2.08,53,5,8,3,10,0,2017-2018
Málaga,37,38.0,687,18.08,427,85,61,39,52,23,34,0.89,20,4,2,3,4,1,2017-2018
Real Madrid,24,38.0,1290,33.95,1000,81,82,57,53,17,166,4.37,121,8,9,16,11,1,2017-2018
Real Sociedad,27,38.0,922,24.26,651,90,66,42,62,11,108,2.84,77,8,10,5,7,1,2017-2018
Sevilla,31,38.0,927,24.39,693,75,59,42,43,15,90,2.37,59,8,9,7,6,1,2017-2018
Valencia,25,38.0,860,22.63,605,76,74,45,47,13,114,3.00,76,7,11,8,9,3,2017-2018
Villarreal,32,38.0,831,21.87,605,64,69,37,36,20,95,2.50,67,3,13,7,5,0,2017-2018
Alavés,26,38.0,700,18.42,458,93,38,47,58,6,59,1.55,36,8,3,6,5,1,2018-2019
Athletic Club,27,38.0,693,18.24,477,77,43,42,45,9,70,1.84,49,5,3,6,7,0,2018-2019
Atlético Madrid,29,38.0,788,20.74,569,75,40,40,53,11,89,2.34,63,3,4,11,7,1,2018-2019
Barcelona,30,38.0,1000,26.32,766,42,75,42,66,9,158,4.16,113,7,13,10,15,0,2018-2019
Betis,25,38.0,782,20.58,585,47,57,24,55,14,76,2.00,57,0,6,5,7,1,2018-2019
