idPartido,EquipoLocal,EquipoVisitante,golesLocal,golesVisitante,Temporada,SCA90_visitante,GCA90_visitante,SCA90_local,GCA90_local,Pases Completados_visitante,Distancia Progresiva de Pase_visitante,Asistencias Esperadas_visitante,Centro al Punto Penal_visitante,Pases Progresivos_visitante,Pases Completados_local,Distancia Progresiva de Pase_local,Asistencias Esperadas_local,Centro al Punto Penal_local,Pases Progresivos_local,Derribos conseguidos_visitante,% Dribladores derribados_visitante,Desafios Perdidos_visitante,Disparos Bloqueados_visitante,Intercepciones_visitante,Errores_visitante,Derribos conseguidos_local,% Dribladores derribados_local,Desafios Perdidos_local,Disparos Bloqueados_local,Intercepciones_local,Errores_local,PSxG-GA/90_visitante,PSxG-GA/90_local
777,Alaves,Espanyol,0,0,2019-2020,18.18,1.16,14.13,1.53,312.7,2297.0,0.7,2.26,32.6,252.9,2172.9,0.58,1.47,24.8,9.58,36.7,11.7,2.53,9.47,0.45,9.11,41.2,9.58,3.0,10.3,0.18,-0.04,-0.06
778,Mallorca,Real Sociedad,0,1,2019-2020,19.58,2.42,19.53,1.68,420.8,2612.6,0.91,2.26,41.8,310.1,2238.4,0.7,1.92,31.8,8.45,44.0,8.45,2.08,8.42,0.32,8.89,37.7,9.87,3.08,9.89,0.24,-0.04,-0.01
779,Barcelona,Betis,5,2,2019-2020,22.03,1.97,23.76,3.95,425.8,2486.6,0.89,2.21,38.8,651.5,3158.3,1.35,0.82,53.7,7.87,43.2,7.63,3.13,7.95,0.21,8.5,42.1,7.63,2.29,9.0,0.42,-0.11,-0.04
780,Leganes,Atletico de Madrid,0,1,2019-2020,20.79,2.26,19.79,1.42,357.8,2325.3,0.98,1.29,35.1,272.0,2132.3,0.67,2.5,30.7,10.7,44.2,9.39,2.84,10.8,0.47,9.39,41.6,9.37,1.92,11.0,0.18,0.15,-0.09
781,Sevilla,Celta Vigo,1,1,2019-2020,17.34,1.76,22.97,2.34,382.9,2376.9,0.69,1.58,35.9,461.2,2796.4,1.04,2.89,48.0,9.39,40.8,9.58,2.34,10.4,0.32,9.05,39.5,10.5,2.47,9.11,0.26,-0.08,-0.02
782,Athletic Club,Real Sociedad,2,0,2019-2020,19.58,2.42,18.16,1.71,420.8,2612.6,0.91,2.26,41.8,329.8,2375.0,0.66,2.24,34.0,8.45,44.0,8.45,2.08,8.42,0.32,8.53,35.4,10.4,2.42,9.82,0.18,-0.04,0.1
783,Osasuna,Barcelona,2,2,2019-2020,23.76,3.95,20.61,1.92,651.5,3158.3,1.35,0.82,53.7,288.4,2337.2,0.78,2.47,35.8,8.5,42.1,7.63,2.29,9.0,0.42,9.5,43.3,9.21,2.58,11.0,0.5,-0.04,-0.08
784,Getafe,Alaves,1,1,2019-2020,14.13,1.53,18.18,1.84,252.9,2172.9,0.58,1.47,24.8,218.9,2059.6,0.7,3.42,31.5,9.11,41.2,9.58,3.0,10.3,0.18,8.97,41.0,8.89,1.58,9.66,0.32,-0.06,0.09
785,Levante,Valladolid,2,0,2019-2020,17.03,1.39,19.63,2.08,294.4,2155.9,0.54,1.5,29.1,326.7,2419.9,0.72,1.97,35.7,8.61,35.6,11.4,2.95,10.3,0.34,7.58,38.3,8.63,2.82,8.71,0.37,0.13,0.09
786,Betis,Leganes,2,1,2019-2020,19.79,1.42,22.03,1.97,272.0,2132.3,0.67,2.5,30.7,425.8,2486.6,0.89,2.21,38.8,9.39,41.6,9.37,1.92,11.0,0.18,7.87,43.2,7.63,3.13,7.95,0.21,-0.09,-0.11
787,Valencia,Mallorca,2,0,2019-2020,19.53,1.68,16.11,2.11,310.1,2238.4,0.7,1.92,31.8,381.3,2393.9,0.78,1.55,36.3,8.89,37.7,9.87,3.08,9.89,0.24,8.18,39.4,9.39,3.42,9.47,0.32,-0.01,-0.05
788,Atletico de Madrid,Eibar,3,2,2019-2020,18.66,1.66,20.79,2.26,274.7,2208.5,0.69,2.84,33.3,357.8,2325.3,0.98,1.29,35.1,8.89,43.5,9.03,2.13,11.3,0.21,10.7,44.2,9.39,2.84,10.8,0.47,-0.07,0.15
789,Espanyol,Granada,0,3,2019-2020,17.63,2.26,18.18,1.16,258.2,2096.2,0.69,1.82,26.6,312.7,2297.0,0.7,2.26,32.6,9.18,41.8,8.74,3.11,10.1,0.26,9.58,36.7,11.7,2.53,9.47,0.45,0.02,-0.04
790,Villarreal,Real Madrid,2,2,2019-2020,26.87,3.29,22.74,2.84,529.1,2989.7,1.24,2.63,51.9,426.8,2601.3,0.98,1.97,39.0,9.34,38.0,9.71,2.03,10.0,0.34,8.5,36.2,10.1,3.05,8.92,0.32,0.15,-0.05
791,Mallorca,Athletic Club,0,0,2019-2020,18.16,1.71,19.53,1.68,329.8,2375.0,0.66,2.24,34.0,310.1,2238.4,0.7,1.92,31.8,8.53,35.4,10.4,2.42,9.82,0.18,8.89,37.7,9.87,3.08,9.89,0.24,0.1,-0.01
792,Barcelona,Valencia,5,2,2019-2020,16.11,2.11,23.76,3.95,381.3,2393.9,0.78,1.55,36.3,651.5,3158.3,1.35,0.82,53.7,8.18,39.4,9.39,3.42,9.47,0.32,8.5,42.1,7.63,2.29,9.0,0.42,-0.05,-0.04
793,Leganes,Villarreal,0,3,2019-2020,22.74,2.84,19.79,1.42,426.8,2601.3,0.98,1.97,39.0,272.0,2132.3,0.67,2.5,30.7,8.5,36.2,10.1,3.05,8.92,0.32,9.39,41.6,9.37,1.92,11.0,0.18,-0.05,-0.09
794,Real Madrid,Levante,3,2,2019-2020,19.63,2.08,26.87,3.29,326.7,2419.9,0.72,1.97,35.7,529.1,2989.7,1.24,2.63,51.9,7.58,38.3,8.63,2.82,8.71,0.37,9.34,38.0,9.71,2.03,10.0,0.34,0.09,0.15
795,Real Sociedad,Atletico de Madrid,2,0,2019-2020,20.79,2.26,19.58,2.42,357.8,2325.3,0.98,1.29,35.1,420.8,2612.6,0.91,2.26,41.8,10.7,44.2,9.39,2.84,10.8,0.47,8.45,44.0,8.45,2.08,8.42,0.32,0.15,-0.04
796,Alaves,Sevilla,0,1,2019-2020,22.97,2.34,14.13,1.53,461.2,2796.4,1.04,2.89,48.0,252.9,2172.9,0.58,1.47,24.8,9.05,39.5,10.5,2.47,9.11,0.26,9.11,41.2,9.58,3.0,10.3,0.18,-0.02,-0.06
797,Betis,Getafe,1,1,2019-2020,18.18,1.84,22.03,1.97,218.9,2059.6,0.7,3.42,31.5,425.8,2486.6,0.89,2.21,38.8,8.97,41.0,8.89,1.58,9.66,0.32,7.87,43.2,7.63,3.13,7.95,0.21,0.09,-0.11
798,Celta Vigo,Granada,0,2,2019-2020,17.63,2.26,17.34,1.76,258.2,2096.2,0.69,1.82,26.6,382.9,2376.9,0.69,1.58,35.9,9.18,41.8,8.74,3.11,10.1,0.26,9.39,40.8,9.58,2.34,10.4,0.32,0.02,-0.08
799,Eibar,Espanyol,1,2,2019-2020,18.18,1.16,18.66,1.66,312.7,2297.0,0.7,2.26,32.6,274.7,2208.5,0.69,2.84,33.3,9.58,36.7,11.7,2.53,9.47,0.45,8.89,43.5,9.03,2.13,11.3,0.21,-0.04,-0.07
800,Valladolid,Osasuna,1,1,2019-2020,20.61,1.92,17.03,1.39,288.4,2337.2,0.78,2.47,35.8,294.4,2155.9,0.54,1.5,29.1,9.5,43.3,9.21,2.58,11.0,0.5,8.61,35.6,11.4,2.95,10.3,0.34,-0.08,0.13
801,Osasuna,Betis,0,0,2019-2020,22.03,1.97,20.61,1.92,425.8,2486.6,0.89,2.21,38.8,288.4,2337.2,0.78,2.47,35.8,7.87,43.2,7.63,3.13,7.95,0.21,9.5,43.3,9.21,2.58,11.0,0.5,-0.11,-0.08
802,Atletico de Madrid,Celta Vigo,0,0,2019-2020,17.34,1.76,20.79,2.26,382.9,2376.9,0.69,1.58,35.9,357.8,2325.3,0.98,1.29,35.1,9.39,40.8,9.58,2.34,10.4,0.32,10.7,44.2,9.39,2.84,10.8,0.47,-0.08,0.15
803,Granada,Barcelona,2,0,2019-2020,23.76,3.95,17.63,2.26,651.5,3158.3,1.35,0.82,53.7,258.2,2096.2,0.69,1.82,26.6,8.5,42.1,7.63,2.29,9.0,0.42,9.18,41.8,8.74,3.11,10.1,0.26,-0.04,0.02
804,Levante,Eibar,0,0,2019-2020,18.66,1.66,19.63,2.08,274.7,2208.5,0.69,2.84,33.3,326.7,2419.9,0.72,1.97,35.7,8.89,43.5,9.03,2.13,11.3,0.21,7.58,38.3,8.63,2.82,8.71,0.37,-0.07,0.09
805,Villarreal,Valladolid,2,0,2019-2020,17.03,1.39,22.74,2.84,294.4,2155.9,0.54,1.5,29.1,426.8,2601.3,0.98,1.97,39.0,8.61,35.6,11.4,2.95,10.3,0.34,8.5,36.2,10.1,3.05,8.92,0.32,0.13,-0.05
806,Athletic Club,Alaves,2,0,2019-2020,14.13,1.53,18.16,1.71,252.9,2172.9,0.58,1.47,24.8,329.8,2375.0,0.66,2.24,34.0,9.11,41.2,9.58,3.0,10.3,0.18,8.53,35.4,10.4,2.42,9.82,0.18,-0.06,0.1
807,Espanyol,Real Sociedad,1,3,2019-2020,19.58,2.42,18.18,1.16,420.8,2612.6,0.91,2.26,41.8,312.7,2297.0,0.7,2.26,32.6,8.45,44.0,8.45,2.08,8.42,0.32,9.58,36.7,11.7,2.53,9.47,0.45,-0.04,-0.04
808,Getafe,Mallorca,4,2,2019-2020,19.53,1.68,18.18,1.84,310.1,2238.4,0.7,1.92,31.8,218.9,2059.6,0.7,3.42,31.5,8.89,37.7,9.87,3.08,9.89,0.24,8.97,41.0,8.89,1.58,9.66,0.32,-0.01,0.09
809,Sevilla,Real Madrid,0,1,2019-2020,26.87,3.29,22.97,2.34,529.1,2989.7,1.24,2.63,51.9,461.2,2796.4,1.04,2.89,48.0,9.34,38.0,9.71,2.03,10.0,0.34,9.05,39.5,10.5,2.47,9.11,0.26,0.15,-0.02
810,Valencia,Leganes,1,1,2019-2020,19.79,1.42,16.11,2.11,272.0,2132.3,0.67,2.5,30.7,381.3,2393.9,0.78,1.55,36.3,9.39,41.6,9.37,1.92,11.0,0.18,8.18,39.4,9.39,3.42,9.47,0.32,-0.09,-0.05
811,Barcelona,Villarreal,2,1,2019-2020,22.74,2.84,23.76,3.95,426.8,2601.3,0.98,1.97,39.0,651.5,3158.3,1.35,0.82,53.7,8.5,36.2,10.1,3.05,8.92,0.32,8.5,42.1,7.63,2.29,9.0,0.42,-0.05,-0.04
812,Betis,Levante,3,1,2019-2020,19.63,2.08,22.03,1.97,326.7,2419.9,0.72,1.97,35.7,425.8,2486.6,0.89,2.21,38.8,7.58,38.3,8.63,2.82,8.71,0.37,7.87,43.2,7.63,3.13,7.95,0.21,0.09,-0.11
813,Valladolid,Granada,1,1,2019-2020,17.63,2.26,17.03,1.39,258.2,2096.2,0.69,1.82,26.6,294.4,2155.9,0.54,1.5,29.1,9.18,41.8,8.74,3.11,10.1,0.26,8.61,35.6,11.4,2.95,10.3,0.34,0.02,0.13
814,Leganes,Athletic Club,1,1,2019-2020,18.16,1.71,19.79,1.42,329.8,2375.0,0.66,2.24,34.0,272.0,2132.3,0.67,2.5,30.7,8.53,35.4,10.4,2.42,9.82,0.18,9.39,41.6,9.37,1.92,11.0,0.18,0.1,-0.09
815,Mallorca,Atletico de Madrid,0,2,2019-2020,20.79,2.26,19.53,1.68,357.8,2325.3,0.98,1.29,35.1,310.1,2238.4,0.7,1.92,31.8,10.7,44.2,9.39,2.84,10.8,0.47,8.89,37.7,9.87,3.08,9.89,0.24,0.15,-0.01
816,Real Madrid,Osasuna,2,0,2019-2020,20.61,1.92,26.87,3.29,288.4,2337.2,0.78,2.47,35.8,529.1,2989.7,1.24,2.63,51.9,9.5,43.3,9.21,2.58,11.0,0.5,9.34,38.0,9.71,2.03,10.0,0.34,-0.08,0.15
817,Valencia,Getafe,3,3,2019-2020,18.18,1.84,16.11,2.11,218.9,2059.6,0.7,3.42,31.5,381.3,2393.9,0.78,1.55,36.3,8.97,41.0,8.89,1.58,9.66,0.32,8.18,39.4,9.39,3.42,9.47,0.32,0.09,-0.05
818,Celta Vigo,Espanyol,1,1,2019-2020,18.18,1.16,17.34,1.76,312.7,2297.0,0.7,2.26,32.6,382.9,2376.9,0.69,1.58,35.9,9.58,36.7,11.7,2.53,9.47,0.45,9.39,40.8,9.58,2.34,10.4,0.32,-0.04,-0.08
819,Eibar,Sevilla,3,2,2019-2020,22.97,2.34,18.66,1.66,461.2,2796.4,1.04,2.89,48.0,274.7,2208.5,0.69,2.84,33.3,9.05,39.5,10.5,2.47,9.11,0.26,8.89,43.5,9.03,2.13,11.3,0.21,-0.02,-0.07
820,Real Sociedad,Alaves,3,0,2019-2020,14.13,1.53,19.58,2.42,252.9,2172.9,0.58,1.47,24.8,420.8,2612.6,0.91,2.26,41.8,9.11,41.2,9.58,3.0,10.3,0.18,8.45,44.0,8.45,2.08,8.42,0.32,-0.06,-0.04
821,Villarreal,Betis,5,1,2019-2020,22.03,1.97,22.74,2.84,425.8,2486.6,0.89,2.21,38.8,426.8,2601.3,0.98,1.97,39.0,7.87,43.2,7.63,3.13,7.95,0.21,8.5,36.2,10.1,3.05,8.92,0.32,-0.11,-0.05
822,Athletic Club,Valencia,0,1,2019-2020,16.11,2.11,18.16,1.71,381.3,2393.9,0.78,1.55,36.3,329.8,2375.0,0.66,2.24,34.0,8.18,39.4,9.39,3.42,9.47,0.32,8.53,35.4,10.4,2.42,9.82,0.18,-0.05,0.1
823,Atletico de Madrid,Real Madrid,0,0,2019-2020,26.87,3.29,20.79,2.26,529.1,2989.7,1.24,2.63,51.9,357.8,2325.3,0.98,1.29,35.1,9.34,38.0,9.71,2.03,10.0,0.34,10.7,44.2,9.39,2.84,10.8,0.47,0.15,0.15
824,Getafe,Barcelona,0,2,2019-2020,23.76,3.95,18.18,1.84,651.5,3158.3,1.35,0.82,53.7,218.9,2059.6,0.7,3.42,31.5,8.5,42.1,7.63,2.29,9.0,0.42,8.97,41.0,8.89,1.58,9.66,0.32,-0.04,0.09
825,Granada,Leganes,1,0,2019-2020,19.79,1.42,17.63,2.26,272.0,2132.3,0.67,2.5,30.7,258.2,2096.2,0.69,1.82,26.6,9.39,41.6,9.37,1.92,11.0,0.18,9.18,41.8,8.74,3.11,10.1,0.26,-0.09,0.02
826,Alaves,Mallorca,2,0,2019-2020,19.53,1.68,14.13,1.53,310.1,2238.4,0.7,1.92,31.8,252.9,2172.9,0.58,1.47,24.8,8.89,37.7,9.87,3.08,9.89,0.24,9.11,41.2,9.58,3.0,10.3,0.18,-0.01,-0.06
827,Eibar,Celta Vigo,2,0,2019-2020,17.34,1.76,18.66,1.66,382.9,2376.9,0.69,1.58,35.9,274.7,2208.5,0.69,2.84,33.3,9.39,40.8,9.58,2.34,10.4,0.32,8.89,43.5,9.03,2.13,11.3,0.21,-0.08,-0.07
828,Espanyol,Valladolid,0,2,2019-2020,17.03,1.39,18.18,1.16,294.4,2155.9,0.54,1.5,29.1,312.7,2297.0,0.7,2.26,32.6,8.61,35.6,11.4,2.95,10.3,0.34,9.58,36.7,11.7,2.53,9.47,0.45,0.13,-0.04
829,Levante,Osasuna,1,1,2019-2020,20.61,1.92,19.63,2.08,288.4,2337.2,0.78,2.47,35.8,326.7,2419.9,0.72,1.97,35.7,9.5,43.3,9.21,2.58,11.0,0.5,7.58,38.3,8.63,2.82,8.71,0.37,-0.08,0.09
830,Sevilla,Real Sociedad,3,2,2019-2020,19.58,2.42,22.97,2.34,420.8,2612.6,0.91,2.26,41.8,461.2,2796.4,1.04,2.89,48.0,8.45,44.0,8.45,2.08,8.42,0.32,9.05,39.5,10.5,2.47,9.11,0.26,-0.04,-0.02
831,Betis,Eibar,1,1,2019-2020,18.66,1.66,22.03,1.97,274.7,2208.5,0.69,2.84,33.3,425.8,2486.6,0.89,2.21,38.8,8.89,43.5,9.03,2.13,11.3,0.21,7.87,43.2,7.63,3.13,7.95,0.21,-0.07,-0.11
832,Leganes,Levante,1,2,2019-2020,19.63,2.08,19.79,1.42,326.7,2419.9,0.72,1.97,35.7,272.0,2132.3,0.67,2.5,30.7,7.58,38.3,8.63,2.82,8.71,0.37,9.39,41.6,9.37,1.92,11.0,0.18,0.09,-0.09
833,Osasuna,Villarreal,2,1,2019-2020,22.74,2.84,20.61,1.92,426.8,2601.3,0.98,1.97,39.0,288.4,2337.2,0.78,2.47,35.8,8.5,36.2,10.1,3.05,8.92,0.32,9.5,43.3,9.21,2.58,11.0,0.5,-0.05,-0.08
834,Real Madrid,Granada,4,2,2019-2020,17.63,2.26,26.87,3.29,258.2,2096.2,0.69,1.82,26.6,529.1,2989.7,1.24,2.63,51.9,9.18,41.8,8.74,3.11,10.1,0.26,9.34,38.0,9.71,2.03,10.0,0.34,0.02,0.15
835,Valencia,Alaves,2,1,2019-2020,14.13,1.53,16.11,2.11,252.9,2172.9,0.58,1.47,24.8,381.3,2393.9,0.78,1.55,36.3,9.11,41.2,9.58,3.0,10.3,0.18,8.18,39.4,9.39,3.42,9.47,0.32,-0.06,-0.05
836,Barcelona,Sevilla,4,0,2019-2020,22.97,2.34,23.76,3.95,461.2,2796.4,1.04,2.89,48.0,651.5,3158.3,1.35,0.82,53.7,9.05,39.5,10.5,2.47,9.11,0.26,8.5,42.1,7.63,2.29,9.0,0.42,-0.02,-0.04
837,Celta Vigo,Athletic Club,1,0,2019-2020,18.16,1.71,17.34,1.76,329.8,2375.0,0.66,2.24,34.0,382.9,2376.9,0.69,1.58,35.9,8.53,35.4,10.4,2.42,9.82,0.18,9.39,40.8,9.58,2.34,10.4,0.32,0.1,-0.08
838,Mallorca,Espanyol,2,0,2019-2020,18.18,1.16,19.53,1.68,312.7,2297.0,0.7,2.26,32.6,310.1,2238.4,0.7,1.92,31.8,9.58,36.7,11.7,2.53,9.47,0.45,8.89,37.7,9.87,3.08,9.89,0.24,-0.04,-0.01
839,Real Sociedad,Getafe,1,2,2019-2020,18.18,1.84,19.58,2.42,218.9,2059.6,0.7,3.42,31.5,420.8,2612.6,0.91,2.26,41.8,8.97,41.0,8.89,1.58,9.66,0.32,8.45,44.0,8.45,2.08,8.42,0.32,0.09,-0.04
840,Valladolid,Atletico de Madrid,0,0,2019-2020,20.79,2.26,17.03,1.39,357.8,2325.3,0.98,1.29,35.1,294.4,2155.9,0.54,1.5,29.1,10.7,44.2,9.39,2.84,10.8,0.47,8.61,35.6,11.4,2.95,10.3,0.34,0.15,0.13
841,Granada,Osasuna,1,0,2019-2020,20.61,1.92,17.63,2.26,288.4,2337.2,0.78,2.47,35.8,258.2,2096.2,0.69,1.82,26.6,9.5,43.3,9.21,2.58,11.0,0.5,9.18,41.8,8.74,3.11,10.1,0.26,-0.08,0.02
842,Atletico de Madrid,Valencia,1,1,2019-2020,16.11,2.11,20.79,2.26,381.3,2393.9,0.78,1.55,36.3,357.8,2325.3,0.98,1.29,35.1,8.18,39.4,9.39,3.42,9.47,0.32,10.7,44.2,9.39,2.84,10.8,0.47,-0.05,0.15
843,Eibar,Barcelona,0,3,2019-2020,23.76,3.95,18.66,1.66,651.5,3158.3,1.35,0.82,53.7,274.7,2208.5,0.69,2.84,33.3,8.5,42.1,7.63,2.29,9.0,0.42,8.89,43.5,9.03,2.13,11.3,0.21,-0.04,-0.07
844,Getafe,Leganes,2,0,2019-2020,19.79,1.42,18.18,1.84,272.0,2132.3,0.67,2.5,30.7,218.9,2059.6,0.7,3.42,31.5,9.39,41.6,9.37,1.92,11.0,0.18,8.97,41.0,8.89,1.58,9.66,0.32,-0.09,0.09
845,Mallorca,Real Madrid,1,0,2019-2020,26.87,3.29,19.53,1.68,529.1,2989.7,1.24,2.63,51.9,310.1,2238.4,0.7,1.92,31.8,9.34,38.0,9.71,2.03,10.0,0.34,8.89,37.7,9.87,3.08,9.89,0.24,0.15,-0.01
846,Alaves,Celta Vigo,2,0,2019-2020,17.34,1.76,14.13,1.53,382.9,2376.9,0.69,1.58,35.9,252.9,2172.9,0.58,1.47,24.8,9.39,40.8,9.58,2.34,10.4,0.32,9.11,41.2,9.58,3.0,10.3,0.18,-0.08,-0.06
847,Athletic Club,Valladolid,1,1,2019-2020,17.03,1.39,18.16,1.71,294.4,2155.9,0.54,1.5,29.1,329.8,2375.0,0.66,2.24,34.0,8.61,35.6,11.4,2.95,10.3,0.34,8.53,35.4,10.4,2.42,9.82,0.18,0.13,0.1
848,Espanyol,Villarreal,0,1,2019-2020,22.74,2.84,18.18,1.16,426.8,2601.3,0.98,1.97,39.0,312.7,2297.0,0.7,2.26,32.6,8.5,36.2,10.1,3.05,8.92,0.32,9.58,36.7,11.7,2.53,9.47,0.45,-0.05,-0.04
849,Real Sociedad,Betis,3,1,2019-2020,22.03,1.97,19.58,2.42,425.8,2486.6,0.89,2.21,38.8,420.8,2612.6,0.91,2.26,41.8,7.87,43.2,7.63,3.13,7.95,0.21,8.45,44.0,8.45,2.08,8.42,0.32,-0.11,-0.04
850,Sevilla,Levante,1,0,2019-2020,19.63,2.08,22.97,2.34,326.7,2419.9,0.72,1.97,35.7,461.2,2796.4,1.04,2.89,48.0,7.58,38.3,8.63,2.82,8.71,0.37,9.05,39.5,10.5,2.47,9.11,0.26,0.09,-0.02
851,Villarreal,Alaves,4,1,2019-2020,14.13,1.53,22.74,2.84,252.9,2172.9,0.58,1.47,24.8,426.8,2601.3,0.98,1.97,39.0,9.11,41.2,9.58,3.0,10.3,0.18,8.5,36.2,10.1,3.05,8.92,0.32,-0.06,-0.05
852,Atletico de Madrid,Athletic Club,2,0,2019-2020,18.16,1.71,20.79,2.26,329.8,2375.0,0.66,2.24,34.0,357.8,2325.3,0.98,1.29,35.1,8.53,35.4,10.4,2.42,9.82,0.18,10.7,44.2,9.39,2.84,10.8,0.47,0.1,0.15
853,Leganes,Mallorca,1,0,2019-2020,19.53,1.68,19.79,1.42,310.1,2238.4,0.7,1.92,31.8,272.0,2132.3,0.67,2.5,30.7,8.89,37.7,9.87,3.08,9.89,0.24,9.39,41.6,9.37,1.92,11.0,0.18,-0.01,-0.09
854,Valladolid,Eibar,2,0,2019-2020,18.66,1.66,17.03,1.39,274.7,2208.5,0.69,2.84,33.3,294.4,2155.9,0.54,1.5,29.1,8.89,43.5,9.03,2.13,11.3,0.21,8.61,35.6,11.4,2.95,10.3,0.34,-0.07,0.13
855,Celta Vigo,Real Sociedad,0,1,2019-2020,19.58,2.42,17.34,1.76,420.8,2612.6,0.91,2.26,41.8,382.9,2376.9,0.69,1.58,35.9,8.45,44.0,8.45,2.08,8.42,0.32,9.39,40.8,9.58,2.34,10.4,0.32,-0.04,-0.08
856,Granada,Betis,1,0,2019-2020,22.03,1.97,17.63,2.26,425.8,2486.6,0.89,2.21,38.8,258.2,2096.2,0.69,1.82,26.6,7.87,43.2,7.63,3.13,7.95,0.21,9.18,41.8,8.74,3.11,10.1,0.26,-0.11,0.02
857,Levante,Espanyol,0,1,2019-2020,18.18,1.16,19.63,2.08,312.7,2297.0,0.7,2.26,32.6,326.7,2419.9,0.72,1.97,35.7,9.58,36.7,11.7,2.53,9.47,0.45,7.58,38.3,8.63,2.82,8.71,0.37,-0.04,0.09
858,Osasuna,Valencia,3,1,2019-2020,16.11,2.11,20.61,1.92,381.3,2393.9,0.78,1.55,36.3,288.4,2337.2,0.78,2.47,35.8,8.18,39.4,9.39,3.42,9.47,0.32,9.5,43.3,9.21,2.58,11.0,0.5,-0.05,-0.08
859,Sevilla,Getafe,2,0,2019-2020,18.18,1.84,22.97,2.34,218.9,2059.6,0.7,3.42,31.5,461.2,2796.4,1.04,2.89,48.0,8.97,41.0,8.89,1.58,9.66,0.32,9.05,39.5,10.5,2.47,9.11,0.26,0.09,-0.02
860,Barcelona,Real Madrid,0,0,2019-2020,26.87,3.29,23.76,3.95,529.1,2989.7,1.24,2.63,51.9,651.5,3158.3,1.35,0.82,53.7,9.34,38.0,9.71,2.03,10.0,0.34,8.5,42.1,7.63,2.29,9.0,0.42,0.15,-0.04
861,Alaves,Atletico de Madrid,1,1,2019-2020,20.79,2.26,14.13,1.53,357.8,2325.3,0.98,1.29,35.1,252.9,2172.9,0.58,1.47,24.8,10.7,44.2,9.39,2.84,10.8,0.47,9.11,41.2,9.58,3.0,10.3,0.18,0.15,-0.06
862,Barcelona,Valladolid,5,1,2019-2020,17.03,1.39,23.76,3.95,294.4,2155.9,0.54,1.5,29.1,651.5,3158.3,1.35,0.82,53.7,8.61,35.6,11.4,2.95,10.3,0.34,8.5,42.1,7.63,2.29,9.0,0.42,0.13,-0.04
863,Athletic Club,Espanyol,3,0,2019-2020,18.18,1.16,18.16,1.71,312.7,2297.0,0.7,2.26,32.6,329.8,2375.0,0.66,2.24,34.0,9.58,36.7,11.7,2.53,9.47,0.45,8.53,35.4,10.4,2.42,9.82,0.18,-0.04,0.1
864,Betis,Celta Vigo,2,1,2019-2020,17.34,1.76,22.03,1.97,382.9,2376.9,0.69,1.58,35.9,425.8,2486.6,0.89,2.21,38.8,9.39,40.8,9.58,2.34,10.4,0.32,7.87,43.2,7.63,3.13,7.95,0.21,-0.08,-0.11
865,Real Madrid,Leganes,5,0,2019-2020,19.79,1.42,26.87,3.29,272.0,2132.3,0.67,2.5,30.7,529.1,2989.7,1.24,2.63,51.9,9.39,41.6,9.37,1.92,11.0,0.18,9.34,38.0,9.71,2.03,10.0,0.34,-0.09,0.15
866,Real Sociedad,Levante,1,2,2019-2020,19.63,2.08,19.58,2.42,326.7,2419.9,0.72,1.97,35.7,420.8,2612.6,0.91,2.26,41.8,7.58,38.3,8.63,2.82,8.71,0.37,8.45,44.0,8.45,2.08,8.42,0.32,0.09,-0.04
867,Valencia,Sevilla,1,1,2019-2020,22.97,2.34,16.11,2.11,461.2,2796.4,1.04,2.89,48.0,381.3,2393.9,0.78,1.55,36.3,9.05,39.5,10.5,2.47,9.11,0.26,8.18,39.4,9.39,3.42,9.47,0.32,-0.02,-0.05
868,Eibar,Villarreal,2,1,2019-2020,22.74,2.84,18.66,1.66,426.8,2601.3,0.98,1.97,39.0,274.7,2208.5,0.69,2.84,33.3,8.5,36.2,10.1,3.05,8.92,0.32,8.89,43.5,9.03,2.13,11.3,0.21,-0.05,-0.07
869,Getafe,Granada,3,1,2019-2020,17.63,2.26,18.18,1.84,258.2,2096.2,0.69,1.82,26.6,218.9,2059.6,0.7,3.42,31.5,9.18,41.8,8.74,3.11,10.1,0.26,8.97,41.0,8.89,1.58,9.66,0.32,0.02,0.09
870,Mallorca,Osasuna,2,2,2019-2020,20.61,1.92,19.53,1.68,288.4,2337.2,0.78,2.47,35.8,310.1,2238.4,0.7,1.92,31.8,9.5,43.3,9.21,2.58,11.0,0.5,8.89,37.7,9.87,3.08,9.89,0.24,-0.08,-0.01
871,Espanyol,Valencia,1,2,2019-2020,16.11,2.11,18.18,1.16,381.3,2393.9,0.78,1.55,36.3,312.7,2297.0,0.7,2.26,32.6,8.18,39.4,9.39,3.42,9.47,0.32,9.58,36.7,11.7,2.53,9.47,0.45,-0.05,-0.04
872,Levante,Barcelona,3,1,2019-2020,23.76,3.95,19.63,2.08,651.5,3158.3,1.35,0.82,53.7,326.7,2419.9,0.72,1.97,35.7,8.5,42.1,7.63,2.29,9.0,0.42,7.58,38.3,8.63,2.82,8.71,0.37,-0.04,0.09
873,Real Madrid,Betis,0,0,2019-2020,22.03,1.97,26.87,3.29,425.8,2486.6,0.89,2.21,38.8,529.1,2989.7,1.24,2.63,51.9,7.87,43.2,7.63,3.13,7.95,0.21,9.34,38.0,9.71,2.03,10.0,0.34,-0.11,0.15
