idPartido,EquipoLocal,EquipoVisitante,golesLocal,golesVisitante,Temporada,SCA90_visitante,GCA90_visitante,SCA90_local,GCA90_local,Pases Completados_visitante,Distancia Progresiva de Pase_visitante,Asistencias Esperadas_visitante,Centro al Punto Penal_visitante,Pases Progresivos_visitante,Pases Completados_local,Distancia Progresiva de Pase_local,Asistencias Esperadas_local,Centro al Punto Penal_local,Pases Progresivos_local,Derribos conseguidos_visitante,% Dribladores derribados_visitante,Desafios Perdidos_visitante,Disparos Bloqueados_visitante,Intercepciones_visitante,Errores_visitante,Derribos conseguidos_local,% Dribladores derribados_local,Desafios Perdidos_local,Disparos Bloqueados_local,Intercepciones_local,Errores_local,PSxG-GA/90_visitante,PSxG-GA/90_local
42,Valencia,Malaga,5,0,2017-2018,18.08,0.89,22.63,3.0,300.6,2367.1,0.62,2.55,30.8,376.0,2590.9,0.88,1.97,41.1,13.4,38.5,11.4,2.66,13.1,0.08,12.9,44.7,10.1,2.84,12.1,0.24,0.15,0.33
43,Athletic Club,Atletico de Madrid,1,2,2017-2018,18.45,2.74,19.5,1.79,381.2,2477.4,0.81,0.89,38.4,347.2,2643.5,0.88,2.74,40.0,16.2,44.5,12.4,3.39,13.5,0.11,12.8,40.3,11.6,2.71,12.2,0.24,0.32,0.16
44,Sevilla,Las Palmas,1,0,2017-2018,19.26,1.08,24.39,2.37,416.4,2634.8,0.73,1.61,35.1,430.7,2813.7,0.97,1.47,48.0,11.4,41.4,9.97,2.95,13.4,0.55,14.1,43.2,10.2,3.0,10.8,0.45,0.02,-0.14
45,Deportivo de La Coruna,Alaves,1,0,2017-2018,17.5,1.87,21.53,1.76,255.2,2150.5,0.58,1.63,27.5,336.4,2450.7,0.92,2.24,38.9,12.2,40.3,10.4,3.5,13.1,0.29,13.2,43.0,10.2,2.97,12.7,0.34,0.04,-0.28
46,Real Madrid,Betis,0,1,2017-2018,19.05,2.45,33.95,4.37,472.4,2753.0,0.83,1.68,39.6,551.4,3163.2,1.55,3.21,62.7,11.2,39.7,8.53,2.5,11.2,0.45,12.4,40.6,9.71,2.18,11.2,0.42,-0.24,0.09
47,Leganes,Girona,0,0,2017-2018,20.89,2.32,17.84,1.45,311.7,2385.5,0.92,2.97,32.0,273.2,2205.0,0.71,1.97,29.2,10.6,39.6,9.63,2.21,12.9,0.16,12.7,46.3,9.84,2.29,15.3,0.24,0.05,0.02
48,Celta Vigo,Getafe,1,1,2017-2018,16.55,1.68,21.11,2.71,224.5,2019.0,0.67,1.76,28.7,446.9,2861.7,0.97,2.29,42.0,12.9,37.7,12.0,1.82,12.8,0.13,11.1,39.2,8.89,2.66,13.1,0.26,0.24,-0.25
49,Levante,Real Sociedad,3,0,2017-2018,24.26,2.84,19.16,2.08,446.7,2804.8,0.94,2.71,42.2,282.0,2222.0,0.59,2.29,33.8,9.84,42.4,8.13,2.39,11.7,0.16,10.9,38.2,10.2,3.34,12.6,0.24,-0.14,0.08
50,Villarreal,Espanyol,0,0,2017-2018,19.05,1.58,21.87,2.5,335.6,2378.1,0.74,2.24,33.6,394.6,2691.0,0.84,1.58,38.2,13.2,38.7,11.3,3.05,13.6,0.24,12.3,39.6,11.1,3.45,11.2,0.18,0.19,0.02
51,Alaves,Real Madrid,1,2,2017-2018,33.95,4.37,17.5,1.87,551.4,3163.2,1.55,3.21,62.7,255.2,2150.5,0.58,1.63,27.5,12.4,40.6,9.71,2.18,11.2,0.42,12.2,40.3,10.4,3.5,13.1,0.29,0.09,0.04
