Equipo,PL,90 Jugados,Goles en contra,Penales concedidos,Goles de tiro libre,Goles de tiro de esquina,Goles propios,Goles esperados,PSxG/SoT,PSxG-GA,PSxG-GA/90,Pases completados (Iniciado),Pases intentados (Iniciado),Porcentaje pase (Iniciado),Pases Intentados (GK),Tiros intentados,% Lanzamiento,Promedio longitud pase,Saques de meta,% Lanzamiento (Saques),Promedio longitud saques,Cruces superados,Cruces detenidos,% Cruces detenidos,Acciones defensivas fuera del área,OPA/90,Distancia promedio defensiva,Temporada
Barcelona,2,38.0,20,3,0,2,3,25.1,0.22,+8.1,+0.21,169,338,50.0,1216,190,22.3,28.9,223,30.0,32.5,375,18,4.8,43,1.13,16.4,2022-2023
Betis,2,38.0,41,3,1,7,1,44.0,0.29,+4.0,+0.10,229,635,36.1,956,149,44.0,39.6,315,67.9,49.1,582,22,3.8,43,1.13,12.1,2022-2023
Cádiz,2,38.0,53,9,1,7,0,53.4,0.22,+0.4,+0.01,270,829,32.6,916,150,59.1,46.4,322,89.4,64.2,651,44,6.8,30,0.79,13.6,2022-2023
Celta Vigo,2,38.0,53,5,1,10,1,42.9,0.27,-9.1,-0.24,184,506,36.4,934,171,37.5,35.3,289,54.0,43.9,509,22,4.3,39,1.03,18.1,2022-2023
Elche,2,38.0,67,7,0,6,2,71.9,0.31,+6.9,+0.18,195,442,44.1,819,175,33.8,34.9,318,51.9,40.9,600,22,3.7,21,0.55,14.0,2022-2023
Espanyol,4,38.0,69,5,1,9,2,54.5,0.27,-12.5,-0.33,305,659,46.3,865,122,49.7,36.2,347,66.0,48.0,557,27,4.8,46,1.21,13.8,2022-2023
Getafe,1,38.0,45,4,0,7,2,45.5,0.23,+2.5,+0.07,409,904,45.2,782,99,75.1,49.8,347,91.4,59.8,586,36,6.1,46,1.21,15.0,2022-2023
Girona,2,38.0,55,6,2,5,0,62.0,0.33,+7.0,+0.18,169,464,36.4,1075,192,28.4,32.4,329,48.3,41.9,597,43,7.2,59,1.55,15.1,2022-2023
Mallorca,3,38.0,43,6,0,3,0,41.5,0.24,-1.5,-0.04,351,841,41.7,950,130,61.9,54.9,338,74.9,54.0,657,35,5.3,21,0.55,4.0,2022-2023
Osasuna,2,38.0,42,1,1,3,2,39.1,0.26,-0.9,-0.02,342,789,43.3,1084,145,53.4,41.1,315,66.7,50.8,534,30,5.6,57,1.50,16.3,2022-2023
Rayo Vallecano,2,38.0,53,4,0,11,4,45.9,0.30,-3.1,-0.08,154,545,28.3,834,204,44.5,38.6,310,56.1,46.5,512,24,4.7,54,1.42,16.1,2022-2023
Real Madrid,2,38.0,36,4,0,2,1,34.2,0.22,-0.8,-0.02,97,241,40.2,1108,230,17.7,23.3,253,17.8,25.0,420,33,7.9,51,1.34,21.7,2022-2023
Real Sociedad,1,38.0,35,1,1,3,2,32.8,0.24,-0.2,0.00,244,572,42.7,1062,138,40.9,35.9,244,56.6,46.2,453,18,4.0,47,1.24,15.9,2022-2023
Sevilla,2,38.0,54,2,1,5,3,49.5,0.30,-1.5,-0.04,218,629,34.7,1143,136,38.0,44.0,307,63.5,49.3,524,32,6.1,49,1.29,12.2,2022-2023
Valencia,1,38.0,45,2,0,7,2,42.9,0.28,-0.1,0.00,177,522,33.9,806,142,42.7,35.1,276,64.5,48.1,457,35,7.7,47,1.24,16.3,2022-2023
Valladolid,3,38.0,63,6,1,0,1,62.6,0.28,+0.6,+0.02,192,553,34.7,963,170,38.3,35.8,358,51.4,41.9,563,20,3.6,33,0.87,16.1,2022-2023
Villarreal,3,38.0,40,4,0,4,1,43.7,0.27,+4.7,+0.12,114,330,34.5,1159,191,21.7,28.8,293,26.6,29.1,548,37,6.8,45,1.18,15.5,2022-2023
Alaves,2,38.0,46,8,0,4,2,44.8,0.25,+0.8,+0.02,315,778,40.5,886,125,62.2,41.7,335,67.8,48.4,530,29,5.5,37,0.97,15.2,2023-2024
Almería,3,38.0,75,6,0,8,0,70.3,0.32,-4.7,-0.12,181,615,29.4,1115,180,39.5,35.5,330,53.0,41.7,629,29,4.6,47,1.24,14.5,2023-2024
Athletic Club,2,38.0,37,1,0,2,4,40.4,0.28,+7.4,+0.20,238,728,32.7,1050,164,48.0,32.4,272,82.4,59.3,491,33,6.7,49,1.29,15.3,2023-2024
Atletico de Madrid,1,38.0,43,1,0,3,0,39.8,0.28,-3.2,-0.08,114,336,33.9,725,180,27.2,31.5,298,46.6,39.0,579,36,6.2,22,0.58,11.8,2023-2024
Barcelona,2,38.0,44,2,0,1,0,41.6,0.28,-2.4,-0.06,113,216,52.3,1076,161,14.7,26.3,255,22.7,27.9,450,15,3.3,36,0.95,15.6,2023-2024
Betis,3,38.0,45,7,3,3,3,47.5,0.26,+5.5,+0.15,180,510,35.3,1022,167,35.2,30.6,279,53.8,42.6,541,38,7.0,42,1.11,12.6,2023-2024
Cádiz,2,38.0,55,2,0,6,1,51.7,0.30,-2.3,-0.06,364,910,40.0,991,123,62.8,49.3,342,84.2,60.7,617,60,9.7,45,1.18,7.0,2023-2024
Celta Vigo,2,38.0,57,6,0,7,3,56.0,0.31,+2.0,+0.05,176,494,35.6,811,182,38.3,35.5,312,58.7,45.4,556,28,5.0,36,0.95,13.3,2023-2024
Getafe,2,38.0,54,5,0,7,0,55.2,0.29,+1.2,+0.03,341,915,37.3,977,124,66.6,39.2,322,82.0,56.2,463,18,3.9,62,1.63,10.7,2023-2024
Girona,1,38.0,46,5,0,8,0,51.1,0.28,+5.1,+0.13,155,420,36.9,1074,178,27.1,30.0,312,41.3,37.9,534,41,7.7,33,0.87,13.2,2023-2024
Granada,4,38.0,79,5,0,12,2,70.2,0.33,-6.8,-0.18,231,626,36.9,1096,185,40.1,32.2,293,63.8,47.9,536,33,6.2,52,1.37,12.6,2023-2024
Las Palmas,2,38.0,47,5,0,5,3,51.2,0.29,+7.2,+0.19,146,473,30.9,1733,204,23.3,27.3,265,26.4,27.1,545,30,5.5,100,2.63,17.8,2023-2024
Mallorca,3,38.0,44,4,1,4,1,43.6,0.26,+0.6,+0.02,333,824,40.4,981,128,61.0,33.0,332,68.1,51.3,520,34,6.5,29,0.76,7.0,2023-2024
Osasuna,2,38.0,56,1,0,8,0,51.8,0.33,-4.2,-0.11,329,771,42.7,1071,119,55.2,40.4,308,58.4,43.4,537,30,5.6,58,1.53,16.4,2023-2024
Rayo Vallecano,2,38.0,48,1,1,5,2,47.8,0.31,+1.8,+0.05,170,613,27.7,915,176,46.3,36.3,320,59.1,47.8,534,23,4.3,40,1.05,17.0,2023-2024
Real Madrid,3,38.0,26,1,0,2,1,34.4,0.29,+9.4,+0.25,79,210,37.6,952,177,17.1,27.0,291,16.2,24.3,487,35,7.2,38,1.00,14.7,2023-2024
Real Sociedad,2,38.0,39,6,0,5,1,40.8,0.27,+2.8,+0.07,192,465,41.3,1099,116,31.8,37.0,199,58.3,45.6,410,19,4.6,58,1.53,20.1,2023-2024
Sevilla,3,38.0,54,5,1,4,2,53.5,0.28,+1.5,+0.04,224,613,36.5,920,182,43.8,32.7,288,72.9,53.4,520,31,6.0,32,0.84,15.4,2023-2024
Valencia,3,38.0,45,3,1,7,2,51.4,0.29,+8.4,+0.22,191,696,27.4,883,148,58.2,41.4,275,66.2,49.9,561,46,8.2,32,0.84,12.3,2023-2024
Villarreal,2,38.0,65,6,1,9,1,61.7,0.27,-2.3,-0.06,150,378,39.7,1015,190,26.8,30.2,354,29.9,29.8,688,35,5.1,36,0.95,5.3,2023-2024
