Equipo,GC,PD,TL,TE,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Int.,Att (GK),TI,Opp,Stp,Temporada
Atlético Madrid,0.71,0.08,0.03,0.11,0.08,0.78,0.24,0.15,+0.15,6.13,15.6,16.8,2.95,14.0,0.32,2019-2020
Barcelona,1.00,0.16,0.05,0.03,0.00,0.96,0.26,-0.04,-0.04,3.34,6.55,32.6,4.79,10.6,0.50,2019-2020
Betis,1.58,0.29,0.03,0.11,0.03,1.44,0.29,-0.11,-0.11,4.16,12.2,27.5,4.50,13.8,0.32,2019-2020
Celta Vigo,1.29,0.13,0.08,0.08,0.00,1.21,0.28,-0.08,-0.08,5.32,15.2,20.6,3.58,15.9,0.53,2019-2020
Eibar,1.47,0.11,0.05,0.08,0.03,1.37,0.35,-0.07,-0.07,7.82,23.6,23.2,2.45,12.4,0.68,2019-2020
Espanyol,1.53,0.16,0.00,0.11,0.05,1.43,0.31,-0.04,-0.04,6.00,18.1,23.6,3.50,13.0,0.76,2019-2020
Getafe,0.97,0.13,0.00,0.05,0.05,1.01,0.30,0.09,+0.09,9.45,25.5,23.2,1.21,10.1,0.53,2019-2020
Granada,1.18,0.11,0.03,0.13,0.00,1.21,0.27,0.02,+0.02,8.66,23.7,28.3,3.61,14.2,0.71,2019-2020
Leganés,1.34,0.16,0.05,0.18,0.03,1.22,0.29,-0.09,-0.09,6.84,20.4,21.8,4.34,13.5,0.47,2019-2020
Levante,1.39,0.08,0.03,0.24,0.05,1.43,0.23,0.09,+0.09,4.71,13.6,21.4,5.42,16.7,0.53,2019-2020
Mallorca,1.71,0.39,0.05,0.18,0.03,1.68,0.26,-0.01,-0.01,6.66,17.6,24.5,4.87,14.2,0.68,2019-2020
Osasuna,1.42,0.13,0.08,0.13,0.00,1.34,0.33,-0.08,-0.08,7.61,22.6,23.3,3.79,12.8,0.55,2019-2020
Real Madrid,0.66,0.05,0.00,0.13,0.00,0.81,0.26,0.15,+0.15,2.37,8.21,25.5,5.97,12.1,0.61,2019-2020
Real Sociedad,1.26,0.18,0.05,0.11,0.03,1.19,0.26,-0.04,-0.04,5.79,13.4,29.7,3.50,11.8,0.34,2019-2020
Sevilla,0.89,0.08,0.08,0.05,0.03,0.85,0.24,-0.02,-0.02,4.71,11.8,21.4,4.71,12.6,0.50,2019-2020
Valencia,1.39,0.18,0.08,0.11,0.03,1.32,0.22,-0.05,-0.05,5.55,15.8,23.1,5.29,16.3,0.32,2019-2020
Valladolid,1.13,0.18,0.05,0.13,0.00,1.26,0.29,0.13,+0.13,6.79,20.9,20.8,3.42,15.5,0.39,2019-2020
Villarreal,1.29,0.21,0.00,0.26,0.05,1.19,0.22,-0.05,-0.05,3.84,11.6,22.6,4.55,17.1,0.50,2019-2020
Alavés,1.50,0.08,0.00,0.13,0.00,1.34,0.35,-0.16,-0.15,8.13,16.2,20.8,3.05,14.3,0.50,2020-2021
Athletic Club,1.11,0.13,0.03,0.16,0.03,0.98,0.29,-0.09,-0.09,5.42,13.0,21.5,5.53,14.6,0.63,2020-2021
Atlético Madrid,0.66,0.03,0.00,0.13,0.08,0.87,0.25,0.29,+0.29,5.32,14.2,18.7,3.45,13.5,0.37,2020-2021
Barcelona,1.00,0.13,0.03,0.13,0.05,0.95,0.24,0.00,0.00,2.42,5.45,28.1,5.08,9.71,0.50,2020-2021
Betis,1.32,0.21,0.03,0.11,0.08,1.23,0.28,-0.01,0.00,5.58,15.9,25.1,4.29,13.3,0.53,2020-2021
Cádiz,1.53,0.24,0.05,0.11,0.03,1.42,0.30,-0.08,-0.09,10.4,26.3,22.3,1.89,15.9,0.87,2020-2021
Celta Vigo,1.50,0.18,0.05,0.11,0.03,1.31,0.32,-0.17,-0.17,5.11,16.0,27.0,4.11,14.6,0.26,2020-2021
Eibar,1.37,0.08,0.00,0.13,0.00,1.25,0.33,-0.12,-0.12,8.95,22.3,24.7,3.26,10.7,0.37,2020-2021
Elche,1.45,0.16,0.00,0.16,0.03,1.55,0.32,0.13,+0.13,7.03,15.9,27.3,4.42,14.1,0.26,2020-2021
Getafe,1.13,0.18,0.00,0.08,0.08,1.04,0.29,-0.01,-0.01,9.74,24.0,22.7,1.26,11.7,0.45,2020-2021
