Equipo,PL,90 Jugados,Tackles,Tackles Ganados,Tackles Defensa 1/3,Tackles Medio 1/3,Tackles Ataque 1/3,Dribladores Tackleados,Dribleos Desafiados,% Tackle Dribladores,Desafíos Perdidos,Bloqueos,Disparos Bloqueados,Pases Bloqueados,Intercepciones,Tackles + Intercepciones,Despejes,Errores,Temporada
Celta Vigo,31,38.0,627,382,302,243,82,308,662,46.5,354,434,116,318,297,924,832,9,2023-2024
Getafe,33,38.0,608,364,269,251,88,291,577,50.4,286,342,103,239,307,915,730,6,2023-2024
Girona,25,38.0,544,340,264,222,58,274,521,52.6,247,378,124,254,257,801,661,21,2023-2024
Granada,40,38.0,637,374,336,237,64,289,623,46.4,334,404,110,294,280,917,779,26,2023-2024
Las Palmas,29,38.0,662,397,328,263,71,305,633,48.2,328,416,98,318,281,943,761,14,2023-2024
Mallorca,25,38.0,686,388,347,281,58,340,657,51.8,317,369,131,238,365,1051,785,10,2023-2024
Osasuna,29,38.0,525,311,247,201,77,243,517,47.0,274,400,108,292,263,788,756,16,2023-2024
Rayo Vallecano,26,38.0,630,372,279,282,69,270,608,44.4,338,410,105,305,308,938,796,12,2023-2024
Real Madrid,27,38.0,557,368,252,214,91,225,461,48.8,236,401,104,297,296,853,552,14,2023-2024
Real Sociedad,31,38.0,650,405,271,285,94,283,552,51.3,269,405,118,287,253,903,693,15,2023-2024
Sevilla,35,38.0,697,463,380,237,80,335,626,53.5,291,395,123,272,313,1010,772,9,2023-2024
Valencia,29,38.0,657,379,335,250,72,309,618,50.0,309,392,105,287,324,981,842,9,2023-2024
Villarreal,32,38.0,576,348,288,212,76,260,532,48.9,272,386,130,256,304,880,789,12,2023-2024
