idPartido,EquipoLocal,EquipoVisitante,golesLocal,golesVisitante,Temporada,SCA90_local,GCA90_local,SCA90_visitante,GCA90_visitante
78,Eibar,Deportivo de La Coruna,0,0,2017-2018,21.29,1.89,21.53,1.76
79,Malaga,Leganes,0,2,2017-2018,18.08,0.89,17.84,1.45
80,Las Palmas,Celta Vigo,2,5,2017-2018,19.26,1.08,21.11,2.71
81,Levante,Getafe,1,1,2017-2018,19.16,2.08,16.55,1.68
82,Barcelona,Malaga,2,0,2017-2018,27.24,4.47,18.08,0.89
83,Valencia,Sevilla,4,0,2017-2018,22.63,3.0,24.39,2.37
84,Betis,Alaves,2,0,2017-2018,19.05,2.45,17.5,1.87
85,Villarreal,Las Palmas,4,0,2017-2018,21.87,2.5,19.26,1.08
86,Real Madrid,Eibar,3,0,2017-2018,33.95,4.37,21.29,1.89
87,Leganes,Athletic Club,1,0,2017-2018,17.84,1.45,19.5,1.79
88,Celta Vigo,Atletico de Madrid,0,1,2017-2018,21.11,2.71,18.45,2.74
89,Deportivo de La Coruna,Girona,1,2,2017-2018,21.53,1.76,20.89,2.32
90,Real Sociedad,Espanyol,1,1,2017-2018,24.26,2.84,19.05,1.58
91,Alaves,Valencia,1,2,2017-2018,17.5,1.87,22.63,3.0
92,Sevilla,Leganes,2,1,2017-2018,24.39,2.37,17.84,1.45
93,Atletico de Madrid,Villarreal,1,1,2017-2018,18.45,2.74,21.87,2.5
94,Athletic Club,Barcelona,0,2,2017-2018,19.5,1.79,27.24,4.47
95,Malaga,Celta Vigo,2,1,2017-2018,18.08,0.89,21.11,2.71
96,Girona,Real Madrid,2,1,2017-2018,20.89,2.32,33.95,4.37
97,Getafe,Real Sociedad,2,1,2017-2018,16.55,1.68,24.26,2.84
98,Eibar,Levante,2,2,2017-2018,21.29,1.89,19.16,2.08
99,Espanyol,Betis,1,0,2017-2018,19.05,1.58,19.05,2.45
100,Las Palmas,Deportivo de La Coruna,1,3,2017-2018,19.26,1.08,21.53,1.76
101,Betis,Getafe,2,2,2017-2018,19.05,2.45,16.55,1.68
102,Alaves,Espanyol,1,0,2017-2018,17.5,1.87,19.05,1.58
103,Barcelona,Sevilla,2,1,2017-2018,27.24,4.47,24.39,2.37
104,Deportivo de La Coruna,Atletico de Madrid,0,1,2017-2018,21.53,1.76,18.45,2.74
105,Valencia,Leganes,3,0,2017-2018,22.63,3.0,17.84,1.45
106,Real Sociedad,Eibar,3,1,2017-2018,24.26,2.84,21.29,1.89
107,Celta Vigo,Athletic Club,3,1,2017-2018,21.11,2.71,19.5,1.79
108,Levante,Girona,1,2,2017-2018,19.16,2.08,20.89,2.32
109,Villarreal,Malaga,2,0,2017-2018,21.87,2.5,18.08,0.89
110,Real Madrid,Las Palmas,3,0,2017-2018,33.95,4.37,19.26,1.08
111,Girona,Real Sociedad,1,1,2017-2018,20.89,2.32,24.26,2.84
112,Leganes,Barcelona,0,3,2017-2018,17.84,1.45,27.24,4.47
113,Sevilla,Celta Vigo,2,1,2017-2018,24.39,2.37,21.11,2.71
114,Atletico de Madrid,Real Madrid,0,0,2017-2018,18.45,2.74,33.95,4.37
115,Getafe,Alaves,4,1,2017-2018,16.55,1.68,17.5,1.87
116,Athletic Club,Villarreal,1,1,2017-2018,19.5,1.79,21.87,2.5
117,Malaga,Deportivo de La Coruna,3,2,2017-2018,18.08,0.89,21.53,1.76
118,Espanyol,Valencia,0,2,2017-2018,19.05,1.58,22.63,3.0
119,Las Palmas,Levante,0,2,2017-2018,19.26,1.08,19.16,2.08
120,Eibar,Betis,5,0,2017-2018,21.29,1.89,19.05,2.45
121,Celta Vigo,Leganes,1,0,2017-2018,21.11,2.71,17.84,1.45
122,Levante,Atletico de Madrid,0,5,2017-2018,19.16,2.08,18.45,2.74
123,Real Madrid,Malaga,3,2,2017-2018,33.95,4.37,18.08,0.89
124,Betis,Girona,2,2,2017-2018,19.05,2.45,20.89,2.32
125,Alaves,Eibar,1,2,2017-2018,17.5,1.87,21.29,1.89
126,Villarreal,Sevilla,2,3,2017-2018,21.87,2.5,24.39,2.37
127,Deportivo de La Coruna,Athletic Club,2,2,2017-2018,21.53,1.76,19.5,1.79
128,Valencia,Barcelona,1,1,2017-2018,22.63,3.0,27.24,4.47
129,Real Sociedad,Las Palmas,2,2,2017-2018,24.26,2.84,19.26,1.08
130,Espanyol,Getafe,1,0,2017-2018,19.05,1.58,16.55,1.68
131,Malaga,Levante,0,0,2017-2018,18.08,0.89,19.16,2.08
132,Sevilla,Deportivo de La Coruna,2,0,2017-2018,24.39,2.37,21.53,1.76
133,Atletico de Madrid,Real Sociedad,2,1,2017-2018,18.45,2.74,24.26,2.84
134,Barcelona,Celta Vigo,2,2,2017-2018,27.24,4.47,21.11,2.71
135,Athletic Club,Real Madrid,0,0,2017-2018,19.5,1.79,33.95,4.37
136,Las Palmas,Betis,1,0,2017-2018,19.26,1.08,19.05,2.45
137,Getafe,Valencia,1,0,2017-2018,16.55,1.68,22.63,3.0
138,Leganes,Villarreal,3,1,2017-2018,17.84,1.45,21.87,2.5
139,Eibar,Espanyol,3,1,2017-2018,21.29,1.89,19.05,1.58
140,Girona,Alaves,2,3,2017-2018,20.89,2.32,17.5,1.87
141,Alaves,Las Palmas,2,0,2017-2018,17.5,1.87,19.26,1.08
142,Deportivo de La Coruna,Leganes,1,0,2017-2018,21.53,1.76,17.84,1.45
143,Valencia,Celta Vigo,2,1,2017-2018,22.63,3.0,21.11,2.71
144,Real Madrid,Sevilla,5,0,2017-2018,33.95,4.37,24.39,2.37
145,Getafe,Eibar,0,0,2017-2018,16.55,1.68,21.29,1.89
146,Real Sociedad,Malaga,0,2,2017-2018,24.26,2.84,18.08,0.89
147,Levante,Athletic Club,1,2,2017-2018,19.16,2.08,19.5,1.79
148,Villarreal,Barcelona,0,2,2017-2018,21.87,2.5,27.24,4.47
149,Betis,Atletico de Madrid,0,1,2017-2018,19.05,2.45,18.45,2.74
150,Espanyol,Girona,0,1,2017-2018,19.05,1.58,20.89,2.32
151,Sevilla,Levante,0,0,2017-2018,24.39,2.37,19.16,2.08
152,Eibar,Valencia,2,1,2017-2018,21.29,1.89,22.63,3.0
153,Athletic Club,Real Sociedad,0,0,2017-2018,19.5,1.79,24.26,2.84
154,Atletico de Madrid,Alaves,1,0,2017-2018,18.45,2.74,17.5,1.87
155,Celta Vigo,Villarreal,0,1,2017-2018,21.11,2.71,21.87,2.5
156,Barcelona,Deportivo de La Coruna,4,0,2017-2018,27.24,4.47,21.53,1.76
157,Las Palmas,Espanyol,2,2,2017-2018,19.26,1.08,19.05,1.58
158,Girona,Getafe,1,0,2017-2018,20.89,2.32,16.55,1.68
159,Malaga,Betis,0,2,2017-2018,18.08,0.89,19.05,2.45
160,Leganes,Real Madrid,1,3,2017-2018,17.84,1.45,33.95,4.37
161,Levante,Leganes,0,0,2017-2018,19.16,2.08,17.84,1.45
162,Getafe,Las Palmas,2,0,2017-2018,16.55,1.68,19.26,1.08
163,Real Sociedad,Sevilla,3,1,2017-2018,24.26,2.84,24.39,2.37
164,Eibar,Girona,4,1,2017-2018,21.29,1.89,20.89,2.32
165,Alaves,Malaga,1,0,2017-2018,17.5,1.87,18.08,0.89
166,Betis,Athletic Club,0,2,2017-2018,19.05,2.45,19.5,1.79
167,Espanyol,Atletico de Madrid,1,0,2017-2018,19.05,1.58,18.45,2.74
168,Deportivo de La Coruna,Celta Vigo,1,3,2017-2018,21.53,1.76,21.11,2.71
169,Valencia,Villarreal,0,1,2017-2018,22.63,3.0,21.87,2.5
170,Real Madrid,Barcelona,0,3,2017-2018,33.95,4.37,27.24,4.47
171,Las Palmas,Eibar,1,2,2017-2018,19.26,1.08,21.29,1.89
172,Valencia,Girona,2,1,2017-2018,22.63,3.0,20.89,2.32
173,Sevilla,Betis,3,5,2017-2018,24.39,2.37,19.05,2.45
174,Atletico de Madrid,Getafe,2,0,2017-2018,18.45,2.74,16.55,1.68
175,Barcelona,Levante,3,0,2017-2018,27.24,4.47,19.16,2.08
176,Villarreal,Deportivo de La Coruna,1,1,2017-2018,21.87,2.5,21.53,1.76
177,Leganes,Real Sociedad,1,0,2017-2018,17.84,1.45,24.26,2.84
178,Celta Vigo,Real Madrid,2,2,2017-2018,21.11,2.71,33.95,4.37
179,Athletic Club,Alaves,2,0,2017-2018,19.5,1.79,17.5,1.87
180,Malaga,Espanyol,0,1,2017-2018,18.08,0.89,19.05,1.58
181,Getafe,Malaga,1,0,2017-2018,16.55,1.68,18.08,0.89
182,Girona,Las Palmas,6,0,2017-2018,20.89,2.32,19.26,1.08
183,Deportivo de La Coruna,Valencia,1,2,2017-2018,21.53,1.76,22.63,3.0
184,Real Madrid,Villarreal,0,1,2017-2018,33.95,4.37,21.87,2.5
185,Eibar,Atletico de Madrid,0,1,2017-2018,21.29,1.89,18.45,2.74
186,Alaves,Sevilla,1,0,2017-2018,17.5,1.87,24.39,2.37
187,Espanyol,Athletic Club,1,1,2017-2018,19.05,1.58,19.5,1.79
188,Levante,Celta Vigo,0,1,2017-2018,19.16,2.08,21.11,2.71
189,Real Sociedad,Barcelona,2,4,2017-2018,24.26,2.84,27.24,4.47
190,Betis,Leganes,3,2,2017-2018,19.05,2.45,17.84,1.45
191,Getafe,Athletic Club,2,2,2017-2018,16.55,1.68,19.5,1.79
192,Atletico de Madrid,Girona,1,1,2017-2018,18.45,2.74,20.89,2.32
193,Las Palmas,Valencia,2,1,2017-2018,19.26,1.08,22.63,3.0
194,Villarreal,Levante,2,1,2017-2018,21.87,2.5,19.16,2.08
195,Espanyol,Sevilla,0,3,2017-2018,19.05,1.58,24.39,2.37
196,Real Madrid,Deportivo de La Coruna,7,1,2017-2018,33.95,4.37,21.53,1.76
197,Betis,Barcelona,0,5,2017-2018,19.05,2.45,27.24,4.47
198,Real Sociedad,Celta Vigo,1,2,2017-2018,24.26,2.84,21.11,2.71
199,Alaves,Leganes,2,2,2017-2018,17.5,1.87,17.84,1.45
200,Eibar,Malaga,1,1,2017-2018,21.29,1.89,18.08,0.89
201,Athletic Club,Eibar,1,1,2017-2018,19.5,1.79,21.29,1.89
202,Deportivo de La Coruna,Levante,2,2,2017-2018,21.53,1.76,19.16,2.08
203,Valencia,Real Madrid,1,4,2017-2018,22.63,3.0,33.95,4.37
204,Malaga,Girona,0,0,2017-2018,18.08,0.89,20.89,2.32
205,Villarreal,Real Sociedad,4,2,2017-2018,21.87,2.5,24.26,2.84
206,Sevilla,Getafe,1,1,2017-2018,24.39,2.37,16.55,1.68
207,Barcelona,Alaves,2,1,2017-2018,27.24,4.47,17.5,1.87
208,Atletico de Madrid,Las Palmas,3,0,2017-2018,18.45,2.74,19.26,1.08
209,Leganes,Espanyol,3,2,2017-2018,17.84,1.45,19.05,1.58
210,Celta Vigo,Betis,3,2,2017-2018,21.11,2.71,19.05,2.45
211,Real Sociedad,Deportivo de La Coruna,5,0,2017-2018,24.26,2.84,21.53,1.76
212,Alaves,Celta Vigo,2,1,2017-2018,17.5,1.87,21.11,2.71
213,Betis,Villarreal,2,1,2017-2018,19.05,2.45,21.87,2.5
214,Eibar,Sevilla,5,1,2017-2018,21.29,1.89,24.39,2.37
215,Levante,Real Madrid,2,2,2017-2018,19.16,2.08,33.95,4.37
216,Espanyol,Barcelona,1,1,2017-2018,19.05,1.58,27.24,4.47
217,Atletico de Madrid,Valencia,1,0,2017-2018,18.45,2.74,22.63,3.0
218,Getafe,Leganes,0,0,2017-2018,16.55,1.68,17.84,1.45
219,Girona,Athletic Club,2,0,2017-2018,20.89,2.32,19.5,1.79
220,Las Palmas,Malaga,1,0,2017-2018,19.26,1.08,18.08,0.89
221,Athletic Club,Las Palmas,0,0,2017-2018,19.5,1.79,19.26,1.08
